Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude
332173,20,2.0,0.0,0.0,0.01852,0,29.10276253,78.20454482
332180,1290,32.0,78.0,129.0,-1.15489,0,25.51713833,81.23121559
332189,680,0.0,45.0,72.0,-1.41072,0,26.96363974,80.28625981
332191,996,37.0,49.0,102.0,-0.84708,0,26.00470991,79.80962736
332197,160,17.0,18.0,29.0,-0.1403,0,28.82788339,77.71504913
332198,305,20.0,23.0,30.0,-0.91789,0,26.16495392,82.09187038
332219,145,23.0,23.0,21.0,-1.27161,0,25.41676751,82.64452534
332224,745,66.0,70.0,128.0,-0.84115,0,25.49385591,82.37975645
332230,985,47.0,60.0,108.0,0.16577,0,29.44230492,78.41433454
332233,610,11.0,29.0,32.0,-0.82471,0,27.57028871,82.41783416
332245,85,7.0,7.0,14.0,-0.08103,0,25.77894103,81.91323547
332248,1134,51.0,74.0,164.0,-0.9396,0,25.28337215,83.34759583
332249,280,17.0,17.0,47.0,-0.91048,0,28.69315465,77.76763407
332251,1955,45.0,72.0,151.0,-1.43097,0,26.29508223,79.25383339
332253,950,54.0,68.0,66.0,-0.69183,0,25.95844417,81.80704265
332261,120,0.0,24.0,48.0,-0.99133,0,27.0828757,83.94727987
332265,275,23.0,22.0,44.0,-0.55459,0,29.37677259,77.37303670000001
332269,135,7.0,9.0,0.0,-0.03855,0,28.40782279,77.88147198
332270,220,24.0,33.0,81.0,-0.75826,0,25.64512119,82.71008416
332283,28,14.0,16.0,39.0,-0.19452,0,26.98645506,82.11038834
332294,505,16.0,50.0,82.0,-1.17096,0,25.70397664,81.01909844
332297,1640,46.0,108.0,185.0,-1.41842,0,25.30101628,80.88629309
332298,355,34.0,33.0,87.0,-1.0549,0,25.461319500000002,83.03992869
332301,620,7.0,76.0,70.0,-1.57429,0,25.708568399999997,81.34929165
332306,40,4.0,4.0,0.0,-0.46588,0,26.80178127,82.21561351
332313,150,7.0,15.0,40.0,-1.38711,0,26.87558689,82.56795112
332317,185,6.0,26.0,43.0,-0.94817,0,27.93449635,78.55964420000001
332319,910,2.0,49.0,79.0,-1.40863,0,25.47326803,81.50415187
332324,140,4.0,8.0,11.0,-1.52894,0,25.30427852,83.21134444
332329,70,5.0,14.0,5.0,-1.26704,0,26.74107732,82.57455752
332336,390,28.0,32.0,87.0,-0.0455,0,28.11213588,77.56374685
332342,15,3.0,3.0,0.0,-0.78476,0,26.7390604,83.22150762
332344,80,5.0,5.0,14.0,-0.38197,0,25.86858959,84.12490309
332345,95,9.0,9.0,16.0,-0.22329,0,28.39541693,78.60938611
332352,295,29.0,29.0,55.0,-0.25877,0,27.14619025,83.31045744
332353,205,17.0,12.0,33.0,-0.21999,0,28.26557184,77.58290547
332354,700,43.0,64.0,118.0,-1.23711,0,26.93308973,80.20670306
332391,1515,33.0,84.0,180.0,-0.82832,0,27.09128233,79.55120303
332392,5,0.0,1.0,0.0,-1.48205,0,25.26517341,83.01624547
332393,30,0.0,3.0,1.0,-1.46059,0,26.9382044,81.18973802
332402,685,45.0,51.0,62.0,-0.3235,0,25.32819053,82.99411636
332409,1135,46.0,85.0,60.0,-1.36475,0,25.45700461,81.52853444
