,id,max_light,min_light,mean_light,median_light,std_light,Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude,geometry
5791,291460.0,10.0,6.0,7.5,7.5,0.9327379053088815,291460,1205,30.0,30.0,27.0,-0.05061,0,24.47264523,74.69725032,POINT (74.69725032 24.47264523)
5792,291464.0,41.0,9.0,21.14,20.5,7.209743407362013,291464,420,26.0,23.0,32.0,0.33927,0,25.16929237,75.97032011,POINT (75.97032011 25.16929237)
5793,291469.0,39.0,0.0,10.24,8.0,7.276152829620884,291469,1885,68.0,68.0,81.0,0.26672,0,25.75518057,75.32940503,POINT (75.32940503 25.75518057)
5794,291470.0,19.0,7.0,9.96,9.0,2.8104092228712885,291470,5015,91.0,102.0,73.0,-0.74768,0,27.5708792,77.08697421,POINT (77.08697421 27.5708792)
5795,291474.0,14.0,0.0,6.12,6.0,2.8854115824263267,291474,3440,98.0,98.0,168.0,0.01917,0,24.43266603,76.20082146,POINT (76.20082146 24.43266603)
5796,291475.0,45.0,11.0,16.49,15.0,5.354428074033678,291475,90,45.0,45.0,77.0,1.00951,0,28.08176707,75.4584406,POINT (75.4584406 28.08176707)
5797,291476.0,57.0,7.0,25.92,22.0,14.210334267708133,291476,0,9.0,9.0,7.0,1.78084,0,24.65091606,75.94431104,POINT (75.94431104 24.65091606)
5798,291477.0,7.0,0.0,4.38,6.0,2.663756745650774,291477,165,58.0,52.0,98.0,-0.43258,0,28.30731448,74.70860442,POINT (74.70860442 28.30731448)
5799,291478.0,15.0,0.0,3.44,0.0,4.626705091098848,291478,1565,87.0,94.0,144.0,-0.43357,0,26.14690141,70.98115609999999,POINT (70.98115609999999 26.14690141)
5800,291480.0,21.0,0.0,9.54,10.0,6.223214603402328,291480,970,70.0,50.0,50.0,-0.1152099999999999,0,24.99862893,75.93166561,POINT (75.93166561 24.99862893)
5801,291482.0,9.0,0.0,1.7,0.0,3.0675723300355937,291482,2040,76.0,65.0,100.0,-0.499,0,25.30597341,77.25783939,POINT (77.25783939 25.30597341)
5802,291485.0,7.0,0.0,2.24,0.0,2.932984827782101,291485,2085,62.0,77.0,108.0,-0.53177,0,26.16911136,73.83829154,POINT (73.83829154 26.16911136)
5803,291486.0,11.0,0.0,5.63,6.0,2.644447012136942,291486,1770,80.0,80.0,133.0,-0.75357,0,26.63451345,76.80361344,POINT (76.80361344 26.63451345)
5804,291489.0,58.0,6.0,15.87,10.0,12.962758194149885,291489,1740,66.0,63.0,82.0,-0.43213,0,26.70307125,77.05474927,POINT (77.05474927 26.70307125)
5805,291491.0,51.0,0.0,19.02,17.0,12.726334900512402,291491,0,0.0,7.0,7.0,-0.87069,0,26.12399657,72.980611,POINT (72.980611 26.12399657)
5806,291494.0,61.0,6.0,29.46,27.0,16.109264415236343,291494,110,8.0,8.0,7.0,-0.55459,0,25.44605004,75.63862748,POINT (75.63862748 25.44605004)
5807,291501.0,62.0,6.0,26.94,21.0,18.09907179940452,291501,465,31.0,31.0,41.0,0.21062,0,26.14875286,75.79264063,POINT (75.79264063 26.14875286)
5808,291503.0,62.0,6.0,31.22,31.0,17.88998602570723,291503,1295,50.0,50.0,42.0,-0.37725,0,26.93474639,70.92883443,POINT (70.92883443 26.93474639)
5809,291514.0,34.0,8.0,12.14,11.0,4.052209273964019,291514,285,19.0,18.0,46.0,0.53413,0,28.41066249,75.67014594,POINT (75.67014594 28.41066249)
5810,291516.0,8.0,0.0,4.79,6.0,2.4384216206390565,291516,60,0.0,0.0,0.0,-1.73282,0,28.40438882,74.69192872,POINT (74.69192872 28.40438882)
5811,291517.0,12.0,6.0,8.35,8.0,1.4097872179871684,291517,190,23.0,23.0,27.0,0.20761,0,27.18499854,75.15842745,POINT (75.15842745 27.18499854)
5812,291518.0,21.0,8.0,11.36,11.0,2.6401515108038773,291518,1065,48.0,36.0,79.0,-0.55031,0,25.17717288,76.03594742,POINT (76.03594742 25.17717288)
5813,291528.0,6.0,0.0,0.12,0.0,0.8400000000000001,291528,2865,0.0,90.0,176.0,-1.51316,0,23.96200542,74.50714176,POINT (74.50714176 23.96200542)
5814,291529.0,11.0,0.0,5.17,6.0,3.800144734085796,291529,380,30.0,30.0,46.0,-0.18784,1,24.98593716,72.7539969,POINT (72.7539969 24.98593716)
5815,291530.0,14.0,0.0,5.28,6.0,4.015171229225474,291530,1265,39.0,39.0,54.0,0.24573,0,26.60635559,75.57794417,POINT (75.57794417 26.60635559)
5816,291532.0,23.0,0.0,8.54,7.0,5.541516038053125,291532,600,5.0,5.0,15.0,-0.07569,0,26.95183877,73.40662258,POINT (73.40662258 26.95183877)
5817,291543.0,6.0,0.0,0.17,0.0,0.9701030873056739,291543,355,0.0,27.0,27.0,-1.07832,0,25.22414329,71.95533456,POINT (71.95533456 25.22414329)
5818,291547.0,0.0,0.0,0.0,0.0,0.0,291547,1400,20.0,69.0,92.0,-1.27767,0,26.71511455,71.31437623,POINT (71.31437623 26.71511455)
5819,291553.0,61.0,5.0,23.5,19.5,16.42102311063473,291553,360,41.0,41.0,60.0,0.21645,0,27.71634743,74.46427608,POINT (74.46427608 27.71634743)
5820,291557.0,59.0,6.0,28.68,27.0,16.110791414452613,291557,0,21.0,21.0,33.0,1.61615,0,26.69224583,77.89947199,POINT (77.89947199 26.69224583)
5821,291560.0,11.0,5.0,8.11,8.0,1.3776429145464366,291560,2950,109.0,105.0,265.0,-0.8723,0,26.71228675,76.77982078,POINT (76.77982078 26.71228675)
5822,291562.0,9.0,0.0,1.4,0.0,2.6720778431774774,291562,2835,86.0,89.0,133.0,-1.02379,0,25.05844739,72.7523901,POINT (72.7523901 25.05844739)
5823,291564.0,16.0,8.0,10.43,10.0,1.6015929570274712,291564,140,17.0,17.0,27.0,0.03353,0,27.23862344,74.84633332,POINT (74.84633332 27.23862344)
